Unix_Time,Temperature,Precipitation_inches,Relative_Humidity,Cloud_Cover,WindSpeed10mAbove_mph,SurfacePressure_millibars, WindDirection_degrees
1713506400,43.6,0.0,52.1,0,2.0,868.6,146.0
1713510000,42.6,0.0,57.1,5,0.4,868.9,178.8
1713513600,41.3,0.0,58.7,70,0.7,868.6,145.1
1713517200,41.4,0.0,63.2,12,2.7,868.8,167.5
1713520800,39.7,0.0,69.0,98,2.1,868.9,192.1
1713524400,39.3,0.0,69.3,70,3.5,868.9,203.7
1713528000,37.8,0.0,72.2,23,2.7,869.1,190.2
1713531600,38.4,0.0,69.6,28,3.5,869.5,170.4
1713535200,40.7,0.0,66.1,53,3.3,869.8,171.4
1713538800,44.9,0.0,57.9,68,3.9,870.1,219.5
1713542400,48.2,0.0,48.1,98,3.5,870.0,210.3
1713546000,50.6,0.0,45.7,77,4.1,870.1,250.2
1713549600,53.3,0.0,41.8,82,3.8,870.1,274.5
1713553200,55.4,0.0,38.5,100,4.0,869.8,298.1
1713556800,57.1,0.0,35.0,100,5.6,869.5,294.5
1713560400,58.4,0.0,32.8,100,6.9,869.2,301.1
1713564000,59.5,0.0,31.0,100,6.6,868.5,302.3
1713567600,60.3,0.0,28.3,100,6.9,868.4,312.7
1713571200,59.7,0.0,27.5,100,7.9,868.3,313.8
1713574800,57.8,0.0,29.7,100,6.8,868.2,317.8
1713578400,56.6,0.0,31.4,70,3.9,868.2,347.1
1713582000,53.6,0.0,36.2,100,0.5,868.3,118.0
1713585600,52.5,0.0,38.8,100,2.9,868.8,215.3
1713589200,50.8,0.0,42.5,100,2.8,868.9,166.4
1713592800,50.2,0.0,42.3,100,4.6,868.8,144.3
1713596400,49.5,0.0,44.3,100,3.1,869.1,161.5
1713600000,49.1,0.0,45.7,100,4.3,869.1,171.9
1713603600,48.8,0.0,46.1,76,1.9,868.8,176.9
1713607200,49.7,0.0,47.9,35,0.7,868.9,242.1
1713610800,48.8,0.0,51.0,20,3.9,868.8,159.8
1713614400,47.3,0.0,53.0,87,3.4,868.8,198.3
1713618000,45.0,0.0,51.7,99,1.2,869.2,289.1
1713621600,47.5,0.0,46.0,72,2.3,869.8,297.0
1713625200,53.1,0.0,42.1,74,4.1,870.3,215.8
1713628800,54.9,0.0,39.3,100,2.9,870.7,229.6
1713632400,58.7,0.0,34.7,98,2.5,871.0,194.9
1713636000,60.9,0.0,30.1,51,2.4,871.0,286.6
1713639600,63.1,0.0,27.4,100,5.4,871.2,298.1
1713643200,63.9,0.0,26.6,100,5.2,871.2,308.9
1713646800,64.9,0.0,27.0,84,6.0,871.2,302.6
1713650400,66.1,0.0,26.4,100,5.2,870.9,307.1
1713654000,65.8,0.0,25.9,89,5.7,870.8,301.6
1713657600,66.1,0.0,24.9,24,6.2,870.8,324.8
1713661200,65.9,0.0,25.8,21,2.2,870.5,332.4
1713664800,64.0,0.0,28.7,13,1.5,870.5,22.9
1713668400,60.2,0.0,33.4,0,1.6,871.0,77.4
1713672000,57.2,0.0,40.6,0,3.5,871.6,34.3
1713675600,54.4,0.0,38.7,0,2.4,871.8,82.1
1713679200,53.6,0.0,40.2,0,2.1,872.2,174.3
1713682800,50.6,0.0,46.3,0,2.6,872.5,175.0
1713686400,49.8,0.0,46.1,0,3.6,872.5,192.9
1713690000,49.3,0.0,47.8,0,2.8,872.1,352.2
1713693600,47.7,0.0,53.2,0,2.0,871.9,22.0
1713697200,47.0,0.0,56.2,0,3.2,872.3,296.6
1713700800,46.2,0.0,56.1,0,3.1,872.5,35.1
1713704400,46.3,0.0,59.3,0,2.1,872.5,287.0
1713708000,50.1,0.0,54.8,0,2.6,872.8,232.0
1713711600,55.9,0.0,47.7,0,3.3,873.0,203.7
1713715200,60.2,0.0,39.8,6,3.0,872.7,217.0
1713718800,64.3,0.0,33.7,83,3.3,872.5,147.6
1713722400,68.7,0.0,29.1,64,5.2,872.0,188.4
1713726000,71.5,0.0,26.3,7,6.0,871.2,192.5
1713729600,73.5,0.0,22.6,0,5.4,870.3,194.0
1713733200,74.6,0.0,21.7,1,4.4,869.5,264.0
1713736800,75.3,0.0,21.4,1,4.9,868.6,271.2
1713740400,75.7,0.0,21.3,12,8.0,867.7,265.0
1713744000,75.6,0.0,20.4,13,6.3,867.1,274.3
1713747600,74.7,0.0,19.5,36,3.4,866.2,299.3
1713751200,69.5,0.0,26.0,8,3.6,865.7,32.5
1713754800,66.0,0.0,28.3,1,6.8,865.6,75.6
1713758400,64.0,0.0,30.4,0,5.5,865.7,144.4
1713762000,62.4,0.0,36.8,35,12.3,866.3,313.9
1713765600,57.6,0.0,53.3,33,3.6,866.3,321.9
1713769200,56.1,0.0,56.2,5,1.8,867.1,128.3
1713772800,55.1,0.0,58.9,3,2.5,867.7,137.0
1713776400,52.5,0.0,63.0,99,3.9,867.6,163.8
1713780000,51.5,0.0,63.1,100,3.5,867.7,171.3
1713783600,50.2,0.0,65.6,95,1.4,868.0,132.6
1713787200,49.0,0.0,64.3,34,1.1,868.0,139.6
1713790800,48.5,0.0,67.8,34,1.1,868.2,158.3
1713794400,51.0,0.0,63.8,34,0.1,868.4,10.1
1713798000,54.3,0.0,51.9,85,0.9,868.3,206.7
1713801600,56.8,0.0,47.1,38,1.1,868.1,242.7
1713805200,59.5,0.0,42.7,2,1.5,868.0,269.6
1713808800,60.8,0.0,35.1,1,5.0,868.0,317.5
1713812400,63.3,0.0,29.3,100,4.1,867.5,313.0
1713816000,65.8,0.0,28.3,100,5.0,867.0,313.4
1713819600,67.4,0.0,30.0,2,4.9,866.2,312.4
1713823200,68.6,0.0,29.9,17,5.4,865.6,306.6
1713826800,69.0,0.0,29.4,19,6.5,864.9,323.3
1713830400,68.2,0.0,23.0,53,7.2,857.3,310.0
1713834000,68.5,0.0,29.6,1,3.0,864.0,13.5
1713837600,66.3,0.0,34.0,4,3.7,863.6,52.0
1713841200,63.2,0.0,37.9,37,4.9,863.9,28.9
1713844800,61.1,0.0,40.8,95,3.8,864.7,333.0
1713848400,60.6,0.0,39.7,31,2.0,864.4,84.8
1713852000,56.5,0.0,52.8,49,2.2,864.5,122.9
1713855600,55.8,0.0,53.1,100,1.3,864.7,122.2
1713859200,52.9,0.0,59.8,100,3.5,864.9,178.0
1713862800,50.7,0.0,64.7,93,4.8,864.6,185.5
1713866400,50.3,0.0,61.5,97,4.3,865.0,188.4
1713870000,51.2,0.0,57.5,84,2.7,865.3,358.3
1713873600,54.4,0.01,55.1,81,6.9,865.4,136.1
1713877200,53.1,0.0,58.7,97,4.3,865.7,252.1
1713880800,52.5,0.0,62.6,100,4.1,866.7,335.2
1713884400,57.4,0.0,51.0,100,3.4,866.4,105.6
1713888000,61.4,0.0,44.7,100,1.6,866.4,318.3
1713891600,62.7,0.0,44.5,62,4.2,866.6,292.5
1713895200,64.8,0.0,43.5,14,4.1,866.7,306.2
1713898800,67.8,0.0,37.8,0,6.1,866.3,315.3
1713902400,69.2,0.0,35.8,0,8.2,865.9,311.0
1713906000,70.8,0.0,29.6,0,8.4,865.7,323.5
1713909600,70.8,0.0,27.2,0,9.9,865.2,325.1
1713913200,71.6,0.0,26.4,0,7.0,864.8,320.0
1713916800,72.5,0.0,26.4,0,4.9,864.4,332.6
1713920400,71.2,0.0,29.0,0,6.8,864.1,351.5
1713924000,66.9,0.0,36.1,0,3.0,863.9,353.7
1713927600,64.8,0.0,38.6,0,2.2,864.1,36.2
1713931200,64.2,0.0,39.8,14,1.5,864.5,50.0
1713934800,63.3,0.0,42.9,99,5.2,864.3,207.9
1713938400,62.8,0.0,44.9,99,4.9,864.9,194.2
1713942000,62.0,0.0,49.3,99,4.8,865.6,163.6
1713945600,60.6,0.0,52.8,56,3.7,865.2,207.7
1713949200,60.5,0.0,49.3,98,6.7,864.8,173.0
1713952800,61.8,0.0,42.5,97,10.0,864.4,168.4
1713956400,59.5,0.0,46.7,95,9.6,865.0,173.6
1713960000,58.1,0.0,51.5,99,6.6,864.5,170.3
1713963600,56.1,0.0,57.8,82,4.4,864.8,233.4
1713967200,58.0,0.0,53.3,59,4.0,865.0,227.1
1713970800,63.8,0.0,41.8,16,3.0,865.3,221.5
1713974400,66.5,0.0,36.4,2,3.7,865.5,224.0
1713978000,70.4,0.0,28.9,22,7.6,865.3,192.2
1713981600,72.1,0.0,25.0,89,9.6,865.0,191.1
1713985200,74.6,0.0,22.9,99,7.2,864.3,205.0
1713988800,74.2,0.0,23.2,83,5.9,863.7,178.6
1713992400,72.5,0.0,27.1,40,7.4,862.9,348.4
1713996000,75.2,0.0,24.3,70,6.4,861.8,331.7
1713999600,76.0,0.0,22.6,92,5.8,861.1,331.4
1714003200,75.2,0.0,23.2,84,5.8,860.8,290.0
1714006800,73.8,0.0,26.0,100,2.2,860.3,345.9
1714010400,70.6,0.0,29.4,100,4.0,860.0,347.4
1714014000,68.4,0.0,30.5,76,3.6,859.9,84.3
1714017600,66.0,0.0,32.9,75,4.9,860.2,211.7
1714021200,64.7,0.0,32.7,42,6.0,860.4,222.7
1714024800,62.3,0.0,51.0,94,8.9,861.6,276.2
1714028400,60.6,0.0,49.5,96,3.0,862.4,64.0
1714032000,58.4,0.0,53.7,58,1.0,862.2,76.7
1714035600,56.9,0.0,62.5,73,4.7,862.4,159.1
1714039200,57.4,0.0,58.0,24,3.0,862.7,140.5
1714042800,54.7,0.0,62.8,12,3.5,862.6,191.9
1714046400,53.6,0.0,64.2,22,4.6,862.6,168.8
1714050000,53.3,0.0,63.7,59,4.0,862.2,151.9
1714053600,55.9,0.0,61.3,65,3.7,862.4,215.9
1714057200,57.8,0.0,59.9,100,2.4,862.4,264.8
1714060800,59.6,0.0,55.6,71,3.4,862.3,223.9
1714064400,61.1,0.0,53.0,80,5.3,862.3,252.4
1714068000,61.0,0.0,52.1,99,8.6,862.1,271.0
1714071600,62.8,0.0,50.6,81,7.8,861.8,274.5
1714075200,58.2,0.0,51.8,96,14.4,862.2,154.4
1714078800,63.2,0.0,36.5,93,13.7,861.0,138.5
1714082400,66.0,0.0,30.2,80,6.7,860.6,199.1
1714086000,63.8,0.0,39.1,84,9.5,860.5,244.5
1714089600,62.4,0.0,42.2,69,12.0,860.8,264.0
1714093200,56.3,0.0,58.7,63,16.5,861.5,276.9
1714096800,53.7,0.0,68.5,26,9.9,861.2,23.9
1714100400,54.4,0.0,60.5,37,5.9,860.5,7.8
1714104000,52.0,0.0,65.2,99,3.2,860.5,266.9
1714107600,52.4,0.0,70.9,100,1.8,860.7,251.3
1714111200,52.2,0.0,71.5,98,1.2,860.3,141.4
1714114800,52.7,0.0,69.3,86,2.2,860.2,187.2
1714118400,52.0,0.01,69.8,100,2.9,860.0,171.5
1714122000,50.8,0.0,76.2,99,3.1,859.6,139.2
1714125600,50.3,0.0,78.4,100,5.1,859.3,206.9
1714129200,47.9,0.06,87.8,98,3.0,859.4,202.3
1714132800,47.1,0.03,87.6,100,2.3,859.0,156.2
1714136400,47.2,0.05,88.5,100,4.1,858.6,140.2
1714140000,47.3,0.1,88.7,100,4.1,858.7,158.7
1714143600,47.7,0.01,87.1,76,1.9,858.5,354.5
1714147200,47.5,0.06,91.5,80,1.5,858.2,238.7
