DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Metric,Temperature,Precipitation_inches,Relative_Humidity,Cloud_Cover,WindSpeed10mAbove_mph,SurfacePressure_millibars, WindDirection_degrees
1709604373,08/20/2023 6:00 AM,08/20/2023 12:00 AM,1692511200,false,71.60,0.00,60.2,100,3.90,867.8,23.8
1709604373,08/20/2023 7:00 AM,08/20/2023 1:00 AM,1692514800,false,70.40,0.00,65.2,75,6.40,868.5,197.5
1709604373,08/20/2023 8:00 AM,08/20/2023 2:00 AM,1692518400,false,71.60,0.02,57,42,9.60,868.8,201.7
1709604373,08/20/2023 9:00 AM,08/20/2023 3:00 AM,1692522000,false,71.40,0.00,60.9,100,7.40,869.7,100.8
1709604373,08/20/2023 10:00 AM,08/20/2023 4:00 AM,1692525600,false,72.10,0.00,59.4,96,6.00,870.3,75.9
1709604373,08/20/2023 11:00 AM,08/20/2023 5:00 AM,1692529200,false,70.60,0.00,64.8,100,7.30,870.5,297.3
1709604373,08/20/2023 12:00 PM,08/20/2023 6:00 AM,1692532800,false,68.40,0.00,73.7,100,5.90,870.3,63.1
1709604373,08/20/2023 1:00 PM,08/20/2023 7:00 AM,1692536400,false,66.70,0.00,79.5,94,2.70,870.4,324.8
1709604373,08/20/2023 2:00 PM,08/20/2023 8:00 AM,1692540000,false,67.10,0.00,78.8,99,2.80,870.2,354.1
1709604373,08/20/2023 3:00 PM,08/20/2023 9:00 AM,1692543600,false,68.80,0.00,77.2,60,3.10,870.3,234.7
1709604373,08/20/2023 4:00 PM,08/20/2023 10:00 AM,1692547200,false,71.70,0.00,68.7,69,5.70,870.4,263.8
1709604373,08/20/2023 5:00 PM,08/20/2023 11:00 AM,1692550800,false,74.40,0.00,62,93,5.10,870.1,308
1709604373,08/20/2023 6:00 PM,08/20/2023 12:00 PM,1692554400,false,77.00,0.00,55,85,3.20,870.3,308.6
1709604373,08/20/2023 7:00 PM,08/20/2023 1:00 PM,1692558000,false,78.90,0.00,51.6,65,3.50,869.5,325.9
