Rssi,Device,Hive_Position,Unix_Time,Sample,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4
0,47:20:22,Lower Brood,1689901243,4742,97.0,94.85,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901247,4747,96.0,94.83,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901248,4748,97.0,94.85,nan,nan,nan,nan,nan,nan,nan,nan
0,56:0D:15,Inner Cover,1689901251,2482,87.0,86.25,54.0,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901253,4752,97.0,94.83,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901255,4755,97.0,94.83,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901259,4760,96.0,94.83,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901260,4761,96.0,94.83,nan,nan,nan,nan,nan,nan,nan,nan
0,56:0D:15,Inner Cover,1689901268,2487,86.0,86.46,54.0,nan,nan,nan,nan,nan,nan,nan
0,56:0D:15,Inner Cover,1689901269,2488,87.0,86.46,54.0,nan,nan,nan,nan,nan,nan,nan
0,56:0D:15,Inner Cover,1689901280,2479,87.0,86.16,54.0,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901282,4739,92.0,94.85,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901295,4765,97.0,94.85,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901297,4768,97.0,94.87,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901298,4773,97.0,94.91,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901299,4774,97.0,94.87,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901310,4778,97.0,94.87,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901312,4781,97.0,94.87,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901313,4786,97.0,94.92,nan,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689901314,4787,97.0,94.87,nan,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901461,17224,33.0,91.02,55.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901462,17225,36.0,91.0,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901468,17229,34.0,91.0,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901470,17232,33.0,91.04,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901476,17235,33.0,91.05,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901477,17236,37.0,91.05,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901484,17216,26.0,91.04,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901485,17217,36.0,91.0,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901488,17221,36.0,90.98,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901514,0,45.0,91.07,58.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689901517,4,39.0,92.44,58.0,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689902241,4788,97.0,95.34,nan,nan,nan,nan,nan,nan,nan,nan
0,56:0D:15,Inner Cover,1689904868,2489,88.0,85.46,54.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689905117,8,39.0,92.31,58.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689905118,9,38.0,92.11,58.0,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689905841,4789,98.0,95.36,nan,nan,nan,nan,nan,nan,nan,nan
0,56:0D:15,Inner Cover,1689908468,2490,87.0,82.52,53.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689908717,10,38.0,91.54,59.0,nan,nan,nan,nan,nan,nan,nan
0,47:20:22,Lower Brood,1689909441,4790,98.0,95.57,nan,nan,nan,nan,nan,nan,nan,nan
0,56:0D:15,Inner Cover,1689912068,2491,86.0,79.32,52.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D0,Upper Brood,1689912317,11,37.0,90.75,59.0,nan,nan,nan,nan,nan,nan,nan
