App,Rssi,Device,Hive_Position,Record_Type,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4,Radar,Audio
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 7:33 AM,02/21/2024 12:33 AM,1708500827,5471,false,100,42.15,,102.76,1,102.76,29.98,17.07,27.49,28.22,,
H|60,38,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 7:53 AM,02/21/2024 12:53 AM,1708502028,4064,false,89,77.12,87,,,,,,,,,
H|60,22,47:20:22,Lower Brood,Logged_Data,02/21/2024 7:53 AM,02/21/2024 12:53 AM,1708502032,4361,false,69,52.68,,,,,,,,,,
H|60,92,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 8:33 AM,02/21/2024 1:33 AM,1708504427,5472,false,100,43.57,,102.86,1,102.86,29.99,17.13,27.48,28.26,,
H|60,36,47:20:22,Lower Brood,Logged_Data,02/21/2024 8:53 AM,02/21/2024 1:53 AM,1708505628,4362,false,69,52.59,,,,,,,,,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 8:53 AM,02/21/2024 1:53 AM,1708505628,4065,false,89,76.91,90,,,,,,,,,
H|60,92,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 9:33 AM,02/21/2024 2:33 AM,1708508027,5473,false,100,43.91,,102.89,1,102.89,30.05,17.13,27.48,28.23,,
H|60,38,47:20:22,Lower Brood,Logged_Data,02/21/2024 9:53 AM,02/21/2024 2:53 AM,1708509228,4363,false,69,52.37,,,,,,,,,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 9:53 AM,02/21/2024 2:53 AM,1708509228,4066,false,89,76.55,86,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 10:33 AM,02/21/2024 3:33 AM,1708511628,5474,false,100,42.69,,102.91,1,102.91,30.07,17.17,27.48,28.19,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 10:53 AM,02/21/2024 3:53 AM,1708512828,4067,false,89,76.20,87,,,,,,,,,
H|60,28,47:20:22,Lower Brood,Logged_Data,02/21/2024 11:03 AM,02/21/2024 4:03 AM,1708513427,4364,false,69,52.52,,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 11:33 AM,02/21/2024 4:33 AM,1708515227,5475,false,100,42.11,,102.99,1,102.99,30.07,17.20,27.47,28.25,,
H|60,26,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 11:53 AM,02/21/2024 4:53 AM,1708516427,4068,false,89,75.81,86,,,,,,,,,
H|60,26,47:20:22,Lower Brood,Logged_Data,02/21/2024 11:53 AM,02/21/2024 4:53 AM,1708516436,4365,false,69,52.52,,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 12:33 PM,02/21/2024 5:33 AM,1708518826,5476,false,100,41.46,,103.03,1,103.03,30.08,17.21,27.45,28.29,,
H|60,26,47:20:22,Lower Brood,Logged_Data,02/21/2024 12:53 PM,02/21/2024 5:53 AM,1708520027,4366,false,69,52.66,,,,,,,,,,
H|60,38,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 1:03 PM,02/21/2024 6:03 AM,1708520637,4069,false,89,75.77,87,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 1:33 PM,02/21/2024 6:33 AM,1708522426,5477,false,100,41.18,,102.99,1,102.99,30.08,17.22,27.44,28.25,,
H|60,32,47:20:22,Lower Brood,Logged_Data,02/21/2024 1:53 PM,02/21/2024 6:53 AM,1708523627,4367,false,69,52.35,,,,,,,,,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 1:53 PM,02/21/2024 6:53 AM,1708523627,4070,false,89,75.75,88,,,,,,,,,
H|60,80,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 2:33 PM,02/21/2024 7:33 AM,1708526026,5478,false,100,40.67,,103.06,1,103.06,30.09,17.23,27.42,28.32,,
H|60,28,47:20:22,Lower Brood,Logged_Data,02/21/2024 2:53 PM,02/21/2024 7:53 AM,1708527227,4368,false,69,52.05,,,,,,,,,,
H|60,38,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 2:53 PM,02/21/2024 7:53 AM,1708527228,4071,false,89,75.77,86,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 3:33 PM,02/21/2024 8:33 AM,1708529626,5479,false,100,41.05,,103.07,1,103.07,30.10,17.22,27.39,28.36,,
H|60,22,47:20:22,Lower Brood,Logged_Data,02/21/2024 3:53 PM,02/21/2024 8:53 AM,1708530826,4369,false,69,51.87,,,,,,,,,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 3:53 PM,02/21/2024 8:53 AM,1708530827,4072,false,89,75.92,90,,,,,,,,,
H|60,80,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 4:33 PM,02/21/2024 9:33 AM,1708533225,5480,false,100,43.05,,103.22,1,103.22,30.18,17.20,27.33,28.51,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 4:53 PM,02/21/2024 9:53 AM,1708534427,4073,false,89,76.81,90,,,,,,,,,
H|60,36,47:20:22,Lower Brood,Logged_Data,02/21/2024 4:53 PM,02/21/2024 9:53 AM,1708534431,4370,false,69,51.87,,,,,,,,,,
H|60,88,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 5:33 PM,02/21/2024 10:33 AM,1708536825,5481,false,100,43.79,,103.22,1,103.22,30.24,17.20,27.29,28.49,,
H|60,26,47:20:22,Lower Brood,Logged_Data,02/21/2024 5:53 PM,02/21/2024 10:53 AM,1708538026,4371,false,69,51.94,,,,,,,,,,
H|60,32,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 5:53 PM,02/21/2024 10:53 AM,1708538027,4074,false,89,76.45,88,,,,,,,,,
H|60,84,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 6:33 PM,02/21/2024 11:33 AM,1708540425,5482,false,100,42.58,,103.34,1,103.34,30.31,17.19,27.36,28.48,,
H|60,28,47:20:22,Lower Brood,Logged_Data,02/21/2024 6:53 PM,02/21/2024 11:53 AM,1708541626,4372,false,69,51.99,,,,,,,,,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 6:53 PM,02/21/2024 11:53 AM,1708541627,4075,false,89,76.89,87,,,,,,,,,
H|60,68,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 7:33 PM,02/21/2024 12:33 PM,1708544025,5483,false,100,43.93,,103.47,1,103.47,30.31,17.18,27.27,28.71,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/21/2024 7:53 PM,02/21/2024 12:53 PM,1708545225,4373,false,69,51.92,,,,,,,,,,
H|60,30,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 7:53 PM,02/21/2024 12:53 PM,1708545226,4076,false,89,76.81,86,,,,,,,,,
H|60,90,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 8:33 PM,02/21/2024 1:33 PM,1708547625,5484,false,100,42.80,,103.53,1,103.53,30.39,17.12,27.32,28.70,,
H|60,34,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 8:53 PM,02/21/2024 1:53 PM,1708548826,4077,false,89,76.42,85,,,,,,,,,
H|60,34,47:20:22,Lower Brood,Logged_Data,02/21/2024 8:53 PM,02/21/2024 1:53 PM,1708548830,4374,false,69,52.17,,,,,,,,,,
H|60,72,49:02:8D,Scale Under Hive,Logged_Data,02/21/2024 9:33 PM,02/21/2024 2:33 PM,1708551224,5485,false,100,41.79,,103.49,1,103.49,30.42,17.14,27.30,28.63,,
H|60,22,47:20:22,Lower Brood,Logged_Data,02/21/2024 9:53 PM,02/21/2024 2:53 PM,1708552425,4375,false,69,52.05,,,,,,,,,,
H|60,36,56:0B:D0,Upper Brood,Logged_Data,02/21/2024 9:53 PM,02/21/2024 2:53 PM,1708552426,4078,false,89,76.33,87,,,,,,,,,
