App,Rssi,Device,Hive_Position,Record_Type,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4,Radar,Audio
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 6:49 AM,08/20/2023 12:49 AM,1692514187,748,false,100,66.03,,49.96,1,49.96,9.49,9.62,20.30,10.55,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 6:49 AM,08/20/2023 12:49 AM,1692514190,1601,false,24,86.97,72,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 6:50 AM,08/20/2023 12:50 AM,1692514238,5678,false,98,94.36,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 7:49 AM,08/20/2023 1:49 AM,1692517787,749,false,100,68.45,,49.88,1,49.88,9.33,9.84,20.27,10.44,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 7:49 AM,08/20/2023 1:49 AM,1692517790,1602,false,23,85.64,72,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 7:50 AM,08/20/2023 1:50 AM,1692517838,5679,false,98,94.02,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 8:49 AM,08/20/2023 2:49 AM,1692521387,750,false,100,67.94,,49.91,1,49.91,9.28,9.93,20.15,10.55,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 8:49 AM,08/20/2023 2:49 AM,1692521390,1603,false,23,85.33,73,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 8:50 AM,08/20/2023 2:50 AM,1692521438,5680,false,98,93.79,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 9:49 AM,08/20/2023 3:49 AM,1692524987,751,false,100,68.41,,50.00,1,50.00,9.20,10.11,20.13,10.56,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 9:49 AM,08/20/2023 3:49 AM,1692524990,1604,false,22,84.57,73,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/20/2023 9:50 AM,08/20/2023 3:50 AM,1692525038,5681,false,98,93.84,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/20/2023 10:49 AM,08/20/2023 4:49 AM,1692528587,752,false,100,68.25,,49.93,1,49.93,9.10,10.18,20.01,10.64,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/20/2023 10:49 AM,08/20/2023 4:49 AM,1692528590,1605,false,22,83.87,73,,,,,,,,,
