Rssi,Device,Hive_Position,Unix_Time,Sample,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4
0,47:13:0C,Lower Brood,1716130398,3,100.0,74.73,nan,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716133998,10,100.0,74.89,nan,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716134002,15,100.0,75.5,nan,nan,nan,nan,nan,nan,nan,nan
20,56:0B:D1,Upper Brood,1716135262,21,100.0,79.35,46.0,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716137598,13,100.0,75.34,nan,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716137599,14,100.0,75.43,nan,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716137602,19,100.0,75.66,nan,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716137604,22,100.0,75.75,nan,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716137605,27,100.0,75.68,nan,nan,nan,nan,nan,nan,nan,nan
0,47:13:0C,Lower Brood,1716137606,28,100.0,75.66,nan,nan,nan,nan,nan,nan,nan,nan
26,47:13:0C,Lower Brood,1716137652,41,100.0,74.13,nan,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716138568,20,100.0,79.35,56.0,nan,nan,nan,nan,nan,nan,nan
82,56:0B:D1,Upper Brood,1716138855,22,100.0,91.45,49.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716142168,21,100.0,79.35,56.0,nan,nan,nan,nan,nan,nan,nan
88,56:0B:D1,Upper Brood,1716142456,23,100.0,89.92,54.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716145768,22,100.0,91.45,56.0,nan,nan,nan,nan,nan,nan,nan
90,56:0B:D1,Upper Brood,1716146059,24,100.0,90.42,56.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716149368,23,100.0,89.92,54.0,nan,nan,nan,nan,nan,nan,nan
88,56:0B:D1,Upper Brood,1716149655,25,100.0,91.31,57.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716152968,24,100.0,90.42,56.0,nan,nan,nan,nan,nan,nan,nan
92,56:0B:D1,Upper Brood,1716153255,26,100.0,91.94,56.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716156568,25,100.0,91.31,56.0,nan,nan,nan,nan,nan,nan,nan
82,56:0B:D1,Upper Brood,1716156859,27,100.0,92.57,56.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716160168,26,100.0,91.94,56.0,nan,nan,nan,nan,nan,nan,nan
90,56:0B:D1,Upper Brood,1716160449,28,100.0,92.64,50.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716163768,27,100.0,92.57,55.0,nan,nan,nan,nan,nan,nan,nan
88,56:0B:D1,Upper Brood,1716164050,29,100.0,92.03,55.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716167368,28,100.0,92.64,50.0,nan,nan,nan,nan,nan,nan,nan
96,56:0B:D1,Upper Brood,1716167649,30,100.0,91.45,55.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716170968,29,100.0,92.03,56.0,nan,nan,nan,nan,nan,nan,nan
80,56:0B:D1,Upper Brood,1716171249,31,100.0,90.6,56.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716174568,30,100.0,91.45,56.0,nan,nan,nan,nan,nan,nan,nan
96,56:0B:D1,Upper Brood,1716174848,32,100.0,89.7,55.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716178168,31,100.0,90.6,57.0,nan,nan,nan,nan,nan,nan,nan
82,56:0B:D1,Upper Brood,1716178448,33,100.0,88.68,54.0,nan,nan,nan,nan,nan,nan,nan
0,56:0B:D1,Upper Brood,1716181768,32,100.0,89.7,57.0,nan,nan,nan,nan,nan,nan,nan
